,TOXICITY,paralyzed,blind,deaf
1579,0.736887753,,,3.0
2821,0.961456835,1.0,,
4494,0.483848184,,2.0,
1629,0.051143911,1.0,,
3836,0.093461998,,,3.0
562,0.081553362,1.0,,
1601,0.11435809,,,3.0
1098,0.293639034,,,3.0
4058,0.922359824,,2.0,
4160,0.776861906,,2.0,
2220,0.270306379,,,3.0
3371,0.316559851,,2.0,
3167,0.887038708,,,3.0
2506,0.908921003,1.0,,
3972,0.908921003,1.0,,
3121,0.432520777,1.0,,
1732,0.929427028,,2.0,
3613,0.066100329,,,3.0
3736,0.907498837,1.0,,
363,0.922532856,,,3.0
625,0.238480464,1.0,,
2353,0.093461998,,,3.0
3610,0.181121677,,,3.0
972,0.181121677,1.0,,
4504,0.402735442,1.0,,
777,0.961456835,1.0,,
3980,0.610934973,,2.0,
2391,0.95228523,,,3.0
2408,0.736887753,,,3.0
4381,0.922532856,1.0,,
1635,0.162078604,1.0,,
2045,0.11435809,1.0,,
3856,0.969425678,,2.0,
1971,0.58532089,,,3.0
2608,0.316559851,,2.0,
1547,0.432520777,,,3.0
1375,0.139141947,,,3.0
3938,0.745668769,,2.0,
3261,0.326537848,,2.0,
1979,0.929427028,,2.0,
1571,0.887116849,,,3.0
1617,0.884222865,,2.0,
255,0.182536855,,2.0,
2621,0.615120709,,2.0,
1441,0.114036284,,2.0,
2578,0.066100329,1.0,,
528,0.884222865,,2.0,
4531,0.963675678,1.0,,
2516,0.360975266,,,3.0
1264,0.395980448,,,3.0
2859,0.11435809,,,3.0
1813,0.259231389,1.0,,
3922,0.093461998,1.0,,
1425,0.745668769,,2.0,
3829,0.293639034,1.0,,
2574,0.163293183,,2.0,
155,0.58532089,1.0,,
4195,0.872855186,1.0,,
4414,0.550842583,,2.0,
4162,0.956047118,,,3.0
4197,0.187820703,1.0,,
671,0.163293183,,2.0,
1257,0.887038708,,,3.0
3959,0.066100329,,,3.0
2511,0.432520777,,,3.0
1864,0.974135041,,,3.0
4244,0.950175345,,,3.0
2357,0.072332315,1.0,,
4230,0.922532856,,,3.0
3788,0.898122609,,2.0,
1049,0.974135041,1.0,,
2835,0.552348495,,2.0,
1921,0.977680027,,2.0,
3436,0.58532089,,,3.0
3942,0.066100329,,,3.0
2269,0.453091055,,2.0,
22,0.150509447,,,3.0
1045,0.316559851,,2.0,
2065,0.653122962,1.0,,
2483,0.293639034,,,3.0
588,0.294887304,,2.0,
3240,0.425917059,,2.0,
1477,0.698932171,,2.0,
2845,0.965940714,,2.0,
3212,0.453091055,,2.0,
3439,0.372296005,1.0,,
436,0.421680391,,2.0,
2819,0.279691517,,2.0,
2549,0.974135041,,,3.0
86,0.696761012,,,3.0
930,0.233354598,,2.0,
987,0.072332315,,,3.0
1176,0.293639034,,,3.0
300,0.884222865,,2.0,
3616,0.908921003,,,3.0
4264,0.977680027,,2.0,
3413,0.902898431,,,3.0
2377,0.603348136,,2.0,
4516,0.967042029,1.0,,
2290,0.048972692,,,3.0
3349,0.214124158,,,3.0
490,0.293639034,1.0,,
3596,0.967566848,,2.0,
2278,0.360975266,,,3.0
4518,0.685794175,1.0,,
1447,0.908921003,,,3.0
523,0.114036284,,2.0,
2606,0.961456835,,,3.0
145,0.901114106,,2.0,
3416,0.425917059,,2.0,
2103,0.345757544,,,3.0
2390,0.942619443,,,3.0
2983,0.942619443,,,3.0
2772,0.114036284,,2.0,
1899,0.187820703,,,3.0
1301,0.802586615,,2.0,
4466,0.913443744,,2.0,
3218,0.535619974,,2.0,
4298,0.360975266,1.0,,
893,0.912432492,,,3.0
2194,0.093461998,1.0,,
2568,0.345757544,1.0,,
1364,0.968584955,1.0,,
1529,0.432520777,,,3.0
1686,0.051143911,1.0,,
4164,0.181121677,1.0,,
4446,0.984064996,,,3.0
1319,0.719505847,,2.0,
1812,0.950175345,,,3.0
1653,0.187820703,,,3.0
1378,0.316559851,,2.0,
188,0.887038708,,,3.0
113,0.38711521,,,3.0
2010,0.360975266,,,3.0
1663,0.956047118,1.0,,
4536,0.962668896,,,3.0
3804,0.965466678,,2.0,
940,0.956047118,,,3.0
1581,0.114036284,,2.0,
2609,0.950175345,1.0,,
732,0.615120709,,2.0,
402,0.508473992,,2.0,
879,0.11435809,1.0,,
2997,0.87964195,,,3.0
2679,0.736887753,1.0,,
1497,0.960036933,,2.0,
1977,0.11435809,1.0,,
268,0.653122962,1.0,,
3320,0.066100329,,,3.0
422,0.965940714,,2.0,
1658,0.961456835,,,3.0
2366,0.956047118,1.0,,
925,0.044717964,1.0,,
983,0.270306379,1.0,,
3447,0.045473021,1.0,,
1706,0.360975266,1.0,,
1225,0.11435809,,,3.0
765,0.051143911,,,3.0
3929,0.372296005,,,3.0
4063,0.835559011,1.0,,
4499,0.787415922,1.0,,
2362,0.079936959,1.0,,
1902,0.187820703,1.0,,
673,0.802586615,,2.0,
1138,0.326537848,,2.0,
1974,0.293639034,1.0,,
2545,0.898122609,,2.0,
3203,0.360975266,1.0,,
1595,0.956047118,1.0,,
3133,0.939510882,,,3.0
4398,0.887116849,,,3.0
4313,0.789446712,1.0,,
2268,0.939510882,1.0,,
3863,0.833321869,,2.0,
1648,0.653122962,1.0,,
154,0.084499359,1.0,,
348,0.181121677,,,3.0
4258,0.345757544,1.0,,
2999,0.97224468,,2.0,
1498,0.360975266,1.0,,
2695,0.956047118,1.0,,
3626,0.922359824,,2.0,
479,0.898122609,,2.0,
328,0.961456835,1.0,,
1760,0.872855186,,,3.0
1168,0.238480464,1.0,,
4210,0.187820703,,,3.0
4287,0.956047118,,,3.0
819,0.066100329,1.0,,
868,0.776861906,,2.0,
3179,0.106641263,,2.0,
747,0.974135041,,,3.0
3715,0.066100329,1.0,,
839,0.238480464,,,3.0
2739,0.969425678,,2.0,
2492,0.58532089,,,3.0
4019,0.922359824,,2.0,
334,0.051143911,1.0,,
3254,0.372296005,1.0,,
4408,0.926077366,,2.0,
1917,0.782198191,,,3.0
2634,0.393586546,1.0,,
2693,0.251539946,,,3.0
2067,0.931010544,,,3.0
2525,0.11435809,,,3.0
4520,0.226434186,1.0,,
221,0.106641263,,2.0,
1738,0.898122609,,2.0,
1505,0.902898431,,,3.0
201,0.736887753,,,3.0
407,0.960043967,1.0,,
1440,0.745668769,,2.0,
683,0.58532089,1.0,,
1909,0.270306379,,,3.0
3526,0.360975266,,,3.0
25,0.02128887,1.0,,
3046,0.761114776,1.0,,
3251,0.961456835,1.0,,
3339,0.782198191,,,3.0
295,0.901114106,,2.0,
2917,0.653122962,,,3.0
467,0.872855186,,,3.0
575,0.857586205,,,3.0
3282,0.960043967,,,3.0
1685,0.326537848,,2.0,
3333,0.887116849,1.0,,
3845,0.425917059,,2.0,
976,0.973990798,,2.0,
608,0.114036284,,2.0,
989,0.908921003,1.0,,
1436,0.960036933,,2.0,
4074,0.926077366,,2.0,
4261,0.745668769,,2.0,
57,0.014127486,,,3.0
1080,0.360975266,1.0,,
1860,0.931010544,1.0,,
1445,0.181121677,1.0,,
2028,0.421680391,,2.0,
2337,0.372059673,1.0,,
3787,0.54354459,,2.0,
1481,0.093461998,1.0,,
2421,0.653122962,,,3.0
3872,0.615120709,,2.0,
1542,0.066100329,1.0,,
618,0.872855186,1.0,,
464,0.973990798,,2.0,
3196,0.974135041,,,3.0
66,0.01258509,1.0,,
153,0.960043967,,,3.0
1027,0.360975266,,,3.0
3503,0.607900083,,2.0,
667,0.432520777,,,3.0
4282,0.736887753,1.0,,
3808,0.959914446,1.0,,
773,0.75164789,,2.0,
2559,0.270306379,,,3.0
3394,0.093461998,1.0,,
4396,0.908921003,1.0,,
3168,0.066100329,1.0,,
3977,0.432520777,1.0,,
1539,0.279691517,,2.0,
891,0.922532856,,,3.0
1918,0.1875007,,2.0,
2499,0.942619443,1.0,,
2811,0.872855186,1.0,,
144,0.961456835,1.0,,
360,0.901114106,,2.0,
2672,0.293639034,1.0,,
2635,0.926077366,,2.0,
4367,0.908921003,,,3.0
3281,0.634545922,1.0,,
4379,0.922359824,,2.0,
514,0.745668769,,2.0,
374,0.908921003,,,3.0
694,0.162078604,,,3.0
2458,0.947178841,,2.0,
739,0.469052911,1.0,,
327,0.181121677,1.0,,
2560,0.902898431,,,3.0
2069,0.270306379,1.0,,
4351,0.926077366,,2.0,
6,0.30755347,,,3.0
215,0.908921003,1.0,,
2212,0.776861906,,2.0,
2242,0.802586615,,2.0,
3391,0.066100329,1.0,,
4131,0.887038708,,,3.0
1289,0.293639034,1.0,,
1240,0.163293183,,2.0,
3189,0.360975266,1.0,,
3086,0.372296005,,,3.0
2911,0.910235345,,2.0,
3746,0.372296005,1.0,,
699,0.421680391,,2.0,
1699,0.187820703,1.0,,
961,0.884222865,,2.0,
2767,0.961456835,1.0,,
4140,0.942619443,1.0,,
2652,0.922030509,1.0,,
543,0.093461998,,,3.0
1276,0.169741526,,,3.0
2822,0.238480464,,,3.0
3958,0.782198191,,,3.0
1338,0.887038708,1.0,,
1555,0.960043967,,,3.0
4186,0.763069272,,2.0,
3552,0.293639034,1.0,,
743,0.887038708,,,3.0
2797,0.884222865,,2.0,
621,0.766288161,,,3.0
52,0.052131962,1.0,,
