,TOXICITY,paralyzed,blind,deaf
3260,0.903312027,1.0,,
2483,0.293639034,,,3.0
2088,0.114036284,,2.0,
3008,0.145333454,1.0,,
4073,0.58532089,,,3.0
2326,0.736887753,,,3.0
184,0.607900083,,2.0,
1908,0.421680391,,2.0,
788,0.360975266,1.0,,
4016,0.698932171,,2.0,
3097,0.209053218,1.0,,
3427,0.882790387,,,3.0
4181,0.111027971,1.0,,
3576,0.942619443,1.0,,
1736,0.187820703,1.0,,
336,0.163293183,,2.0,
823,0.901114106,,2.0,
3164,0.832317948,,2.0,
269,0.372296005,1.0,,
442,0.942619443,1.0,,
2196,0.961456835,,,3.0
3628,0.942619443,,,3.0
4457,0.685794175,1.0,,
3371,0.316559851,,2.0,
95,0.118989639,1.0,,
27,0.73325181,,2.0,
3892,0.345757544,,,3.0
3721,0.969425678,,2.0,
4071,0.887116849,,,3.0
2756,0.960043967,,,3.0
2261,0.892320812,,2.0,
1478,0.960036933,,2.0,
1490,0.965466678,,2.0,
1581,0.114036284,,2.0,
679,0.961456835,,,3.0
905,0.421680391,,2.0,
1197,0.181121677,,,3.0
3883,0.345757544,1.0,,
148,0.360975266,1.0,,
385,0.809676349,1.0,,
4505,0.883235335,,,3.0
2403,0.960043967,1.0,,
3759,0.181121677,,,3.0
739,0.469052911,1.0,,
4241,0.552348495,,2.0,
4145,0.187820703,,,3.0
1526,0.238480464,1.0,,
2009,0.106641263,,2.0,
3336,0.965466678,,2.0,
1583,0.922532856,,,3.0
2306,0.902898431,,,3.0
851,0.072332315,1.0,,
2192,0.902898431,1.0,,
2424,0.976896465,,,3.0
1304,0.051143911,,,3.0
3754,0.279691517,,2.0,
1038,0.187820703,,,3.0
482,0.965466678,,2.0,
1754,0.072332315,1.0,,
987,0.072332315,,,3.0
2783,0.97224468,,2.0,
678,0.745668769,,2.0,
3088,0.148929998,1.0,,
1203,0.270306379,1.0,,
658,0.106641263,,2.0,
720,0.967306733,1.0,,
3614,0.942619443,1.0,,
4350,0.238480464,,,3.0
4049,0.745668769,,2.0,
880,0.887038708,1.0,,
231,0.887038708,1.0,,
1188,0.965940714,,2.0,
559,0.152980477,,2.0,
1445,0.181121677,1.0,,
432,0.133274391,,2.0,
1238,0.141974092,1.0,,
1667,0.653122962,1.0,,
1772,0.974135041,1.0,,
719,0.782198191,1.0,,
511,0.97224468,,2.0,
151,0.051143911,1.0,,
356,0.950175345,,,3.0
2684,0.270306379,,,3.0
4037,0.345757544,,,3.0
1207,0.187820703,1.0,,
2429,0.929427028,,2.0,
601,0.372296005,1.0,,
340,0.846776545,,2.0,
2527,0.802586615,,2.0,
1016,0.939510882,1.0,,
3357,0.942619443,1.0,,
1191,0.552348495,,2.0,
1420,0.453091055,,2.0,
1067,0.950175345,,,3.0
3439,0.372296005,1.0,,
815,0.887116849,,,3.0
1258,0.942619443,,,3.0
829,0.887038708,1.0,,
4448,0.752046347,,2.0,
3587,0.922359824,,2.0,
735,0.039964452,,,3.0
1282,0.965466678,,2.0,
4435,0.887116849,,,3.0
2856,0.552348495,,2.0,
2770,0.220476165,,2.0,
885,0.942619443,1.0,,
1911,0.494330883,,2.0,
1775,0.950175345,,,3.0
412,0.051143911,1.0,,
33,0.776486397,1.0,,
1973,0.152980477,,2.0,
3317,0.238480464,1.0,,
600,0.441941738,,,3.0
1721,0.181121677,1.0,,
3907,0.961456835,,,3.0
1108,0.698932171,,2.0,
425,0.238480464,1.0,,
4371,0.051143911,,,3.0
4429,0.607900083,,2.0,
1728,0.066100329,,,3.0
3597,0.114036284,,2.0,
2275,0.902898431,,,3.0
1514,0.072332315,,,3.0
4189,0.939510882,,,3.0
3358,0.187820703,,,3.0
418,0.908921003,,,3.0
4136,0.941647589,1.0,,
1303,0.782198191,,,3.0
3761,0.969425678,,2.0,
1901,0.034964632,,,3.0
3,0.491391569,,,3.0
1035,0.956047118,1.0,,
671,0.163293183,,2.0,
3359,0.754354358,1.0,,
2026,0.421680391,,2.0,
3771,0.901114106,,2.0,
960,0.745668769,,2.0,
1174,0.922532856,,,3.0
2830,0.072332315,,,3.0
1376,0.943564653,,2.0,
765,0.051143911,,,3.0
102,0.052131962,1.0,,
1187,0.187820703,,,3.0
2668,0.41264233,,,3.0
787,0.279691517,,2.0,
2390,0.942619443,,,3.0
1894,0.270306379,,,3.0
1903,0.778065264,,,3.0
4208,0.745668769,,2.0,
2628,0.974135041,1.0,,
435,0.293639034,1.0,,
619,0.238480464,,,3.0
2938,0.939510882,1.0,,
3202,0.270306379,1.0,,
2914,0.642888367,1.0,,
1055,0.220476165,,2.0,
2240,0.872855186,,,3.0
738,0.974135041,,,3.0
4281,0.360975266,1.0,,
923,0.277855843,,,3.0
180,0.345757544,,,3.0
2970,0.072332315,1.0,,
2300,0.106641263,,2.0,
1856,0.965466678,,2.0,
1184,0.270306379,,,3.0
3032,0.872855186,1.0,,
2497,0.326537848,,2.0,
1393,0.238480464,1.0,,
3862,0.181121677,,,3.0
1513,0.950175345,,,3.0
882,0.066100329,,,3.0
3278,0.965940714,,2.0,
4519,0.972359657,1.0,,
4144,0.641017735,,2.0,
3286,0.552348495,,2.0,
124,0.522999048,,2.0,
127,0.425917059,,2.0,
1737,0.453091055,,2.0,
2344,0.360975266,1.0,,
841,0.270306379,1.0,,
304,0.872855186,,,3.0
2633,0.97224468,,2.0,
2480,0.95844698,1.0,,
2583,0.653122962,1.0,,
930,0.233354598,,2.0,
4114,0.939510882,1.0,,
1749,0.114036284,,2.0,
611,0.11435809,1.0,,
1146,0.887116849,,,3.0
167,0.973990798,,2.0,
2371,0.782198191,1.0,,
3380,0.293639034,,,3.0
2875,0.042712685,1.0,,
2834,0.064512499,1.0,,
2320,0.835559011,,,3.0
436,0.421680391,,2.0,
2924,0.270306379,1.0,,
978,0.736887753,,,3.0
4303,0.950175345,,,3.0
387,0.902898431,,,3.0
2176,0.293639034,1.0,,
4364,0.960043967,,,3.0
896,0.453091055,,2.0,
44,0.051036716,1.0,,
3001,0.950175345,1.0,,
2520,0.789462864,,2.0,
1367,0.961456835,,,3.0
2654,0.181121677,1.0,,
2008,0.981857121,,2.0,
3831,0.092921346,1.0,,
3424,0.745668769,,2.0,
3220,0.432520777,1.0,,
78,0.118989639,,,3.0
1403,0.969425678,,2.0,
2311,0.950175345,1.0,,
4306,0.382478535,,,3.0
2824,0.782198191,1.0,,
1085,0.807709873,,,3.0
3881,0.552348495,,2.0,
1575,0.973990798,,2.0,
347,0.819181919,,2.0,
4165,0.887038708,1.0,,
2029,0.12570031,,2.0,
1845,0.58532089,,,3.0
935,0.872855186,,,3.0
2091,0.973990798,,2.0,
3416,0.425917059,,2.0,
4398,0.887116849,,,3.0
197,0.372296005,,,3.0
3443,0.902898431,1.0,,
634,0.072332315,,,3.0
2894,0.187815472,,2.0,
2270,0.421680391,,2.0,
1120,0.326537848,,2.0,
282,0.169741526,1.0,,
4232,0.960036933,,2.0,
158,0.181121677,,,3.0
1992,0.736887753,1.0,,
4411,0.345757544,1.0,,
1044,0.372296005,,,3.0
1099,0.942619443,,,3.0
4034,0.923028469,,,3.0
4179,0.072332315,,,3.0
4289,0.163293183,,2.0,
1684,0.258479685,1.0,,
3903,0.872855186,,,3.0
2458,0.947178841,,2.0,
2610,0.58532089,,,3.0
3160,0.163293183,,2.0,
2109,0.16566889,1.0,,
828,0.187820703,,,3.0
4401,0.922532856,,,3.0
1173,0.959729314,,2.0,
2662,0.093461998,1.0,,
1349,0.58532089,1.0,,
267,0.782198191,1.0,,
1579,0.736887753,,,3.0
3319,0.961456835,1.0,,
2034,0.051143911,,,3.0
1635,0.162078604,1.0,,
1427,0.337609708,1.0,,
2732,0.11435809,,,3.0
1752,0.920223475,1.0,,
1668,0.11435809,1.0,,
3711,0.163293183,,2.0,
3531,0.072332315,1.0,,
3209,0.432520777,,,3.0
1561,0.887038708,,,3.0
2890,0.922359824,,2.0,
4067,0.421680391,,2.0,
2670,0.11435809,1.0,,
1102,0.902898431,,,3.0
1052,0.187820703,1.0,,
1291,0.973990798,,2.0,
3689,0.872855186,1.0,,
3659,0.965940714,,2.0,
698,0.960043967,1.0,,
680,0.187820703,,,3.0
35,0.052131962,,,3.0
4004,0.432520777,1.0,,
3772,0.949062407,,,3.0
1688,0.615120709,,2.0,
2468,0.960043967,,,3.0
2194,0.093461998,1.0,,
479,0.898122609,,2.0,
3922,0.093461998,1.0,,
4194,0.421680391,,2.0,
967,0.977680027,,2.0,
767,0.802586615,,2.0,
1705,0.959914446,,,3.0
4218,0.872855186,1.0,,
280,0.939510882,,,3.0
650,0.440792322,1.0,,
1880,0.607900083,,2.0,
3368,0.372296005,1.0,,
1345,0.432520777,1.0,,
164,0.960036933,,2.0,
2243,0.220476165,,2.0,
990,0.072332315,1.0,,
1646,0.908921003,1.0,,
359,0.939510882,1.0,,
4424,0.965940714,,2.0,
1788,0.093461998,1.0,,
1544,0.58532089,,,3.0
2735,0.936871111,,2.0,
1914,0.653122962,1.0,,
1613,0.922359824,,2.0,
1957,0.061952036,1.0,,
3442,0.956047118,,,3.0
3885,0.421680391,,2.0,
3206,0.372296005,1.0,,
2696,0.270306379,,,3.0
2149,0.950235009,1.0,,
877,0.898122609,,2.0,
2277,0.220476165,,2.0,
2140,0.093461998,1.0,,
4498,0.913747609,,2.0,
3231,0.187960744,1.0,,
1519,0.552348495,,2.0,
1030,0.346606702,1.0,,
2072,0.960043967,,,3.0
209,0.96051085,,,3.0
1025,0.516749859,1.0,,
2926,0.453091055,,2.0,
2400,0.181121677,1.0,,
1222,0.782198191,1.0,,
1941,0.220476165,,2.0,
2639,0.884222865,,2.0,
4326,0.187820703,,,3.0
2998,0.360975266,,,3.0
1109,0.849298835,1.0,,
1818,0.360975266,,,3.0
316,0.093461998,,,3.0
2533,0.051143911,,,3.0
3324,0.802586615,,2.0,
333,0.101259843,1.0,,
1990,0.181121677,1.0,,
4365,0.908921003,,,3.0
3889,0.951959193,1.0,,
1531,0.776861906,,2.0,
2546,0.922532856,,,3.0
2258,0.934667468,,2.0,
4307,0.238480464,1.0,,
1915,0.181121677,,,3.0
3120,0.360975266,,,3.0
2609,0.950175345,1.0,,
2740,0.939510882,1.0,,
1006,0.749203205,1.0,,
1665,0.961456835,1.0,,
3005,0.817227721,,,3.0
2630,0.745668769,,2.0,
1276,0.169741526,,,3.0
4203,0.093461998,,,3.0
2641,0.181121677,,,3.0
2988,0.922532856,1.0,,
3193,0.372296005,,,3.0
2507,0.949731529,,2.0,
3227,0.552348495,,2.0,
4443,0.942619443,1.0,,
3966,0.887038708,1.0,,
1379,0.97224468,,2.0,
2021,0.145977736,,2.0,
3795,0.114036284,,2.0,
2643,0.939510882,1.0,,
3084,0.956047118,1.0,,
1029,0.974135041,1.0,,
1150,0.051143911,,,3.0
3691,0.425917059,,2.0,
2919,0.943144023,1.0,,
4200,0.360975266,,,3.0
1603,0.345757544,,,3.0
145,0.901114106,,2.0,
2627,0.360975266,,,3.0
3331,0.345757544,1.0,,
177,0.965466678,,2.0,
3335,0.316559851,,2.0,
4434,0.144040033,,,3.0
352,0.698932171,,2.0,
1538,0.615120709,,2.0,
1426,0.960043967,,,3.0
2086,0.969425678,,2.0,
2836,0.372296005,1.0,,
2252,0.974135041,1.0,,
1758,0.238480464,1.0,,
2441,0.603286505,1.0,,
874,0.745668769,,2.0,
3106,0.872855186,,,3.0
1552,0.372296005,1.0,,
2777,0.58532089,,,3.0
1777,0.939510882,1.0,,
2852,0.360975266,,,3.0
3635,0.922532856,1.0,,
2983,0.942619443,,,3.0
3484,0.908921003,1.0,,
3143,0.453091055,,2.0,
4096,0.607900083,,2.0,
1095,0.072332315,,,3.0
1060,0.11435809,,,3.0
3804,0.965466678,,2.0,
1650,0.552348495,,2.0,
346,0.093461998,1.0,,
4242,0.106641263,,2.0,
774,0.432520777,1.0,,
2779,0.066100329,1.0,,
205,0.371022046,,,3.0
3256,0.616854548,,,3.0
3501,0.064512499,,,3.0
2332,0.345757544,1.0,,
1842,0.942619443,,,3.0
1834,0.942619443,1.0,,
1145,0.072332315,1.0,,
803,0.956047118,,,3.0
4482,0.325697958,1.0,,
670,0.130779833,1.0,,
2711,0.920223475,,,3.0
108,0.11110913,,,3.0
607,0.928585589,,,3.0
1628,0.745668769,,2.0,
3351,0.072332315,1.0,,
1156,0.432520777,1.0,,
2908,0.293639034,,,3.0
4394,0.782198191,,,3.0
2615,0.922532856,,,3.0
1492,0.093461998,1.0,,
2373,0.960043967,,,3.0
2402,0.421680391,,2.0,
4105,0.887038708,1.0,,
2928,0.360975266,,,3.0
477,0.894876599,,2.0,
242,0.965466678,,2.0,
3756,0.884222865,,2.0,
503,0.727344811,1.0,,
4083,0.955865502,,,3.0
1841,0.072332315,,,3.0
655,0.152980477,,2.0,
2077,0.932807982,,,3.0
298,0.421680391,,2.0,
3299,0.093461998,,,3.0
4467,0.983982921,,,3.0
786,0.161187291,1.0,,
4027,0.745668769,,2.0,
3369,0.11435809,1.0,,
715,0.552348495,,2.0,
1640,0.782198191,,,3.0
3953,0.973990798,,2.0,
1792,0.887038708,,,3.0
1804,0.187820703,,,3.0
2189,0.872855186,1.0,,
3687,0.066100329,1.0,,
3329,0.960036933,,2.0,
88,0.817674994,1.0,,
966,0.161346883,,,3.0
1616,0.372296005,1.0,,
3409,0.372296005,,,3.0
3015,0.872855186,1.0,,
2148,0.782198191,1.0,,
3440,0.52405256,,,3.0
1082,0.653122962,,,3.0
577,0.960036933,,2.0,
3562,0.956047118,1.0,,
4304,0.728212059,1.0,,
3967,0.421680391,,2.0,
2689,0.360975266,,,3.0
2447,0.238480464,1.0,,
3466,0.974135041,1.0,,
2623,0.950175345,1.0,,
2082,0.372296005,1.0,,
2230,0.513353109,,2.0,
2498,0.802586615,,2.0,
4454,0.984429717,,,3.0
526,0.939510882,,,3.0
2284,0.969425678,,2.0,
3362,0.956047118,,,3.0
3696,0.58532089,1.0,,
1136,0.960036933,,2.0,
2367,0.698932171,,2.0,
299,0.961456835,,,3.0
579,0.181121677,,,3.0
4155,0.270306379,1.0,,
1402,0.306318969,,2.0,
2557,0.776861906,,2.0,
2294,0.607900083,,2.0,
1151,0.552348495,,2.0,
3280,0.869817138,,2.0,
2143,0.782198191,1.0,,
3347,0.607900083,,2.0,
107,0.051036716,,,3.0
3777,0.05036556,,,3.0
3033,0.238480464,,,3.0
4346,0.929427028,,2.0,
66,0.01258509,1.0,,
2539,0.106641263,,2.0,
1047,0.106641263,,2.0,
4031,0.246873155,1.0,,
161,0.943854213,1.0,,
4028,0.974135041,,,3.0
1386,0.078291759,,2.0,
4382,0.772910178,,,3.0
1474,0.959820092,,2.0,
518,0.159085825,,,3.0
3918,0.051143911,1.0,,
1764,0.745668769,,2.0,
949,0.607900083,,2.0,
3074,0.942619443,,,3.0
867,0.745668769,,2.0,
1964,0.360975266,,,3.0
2482,0.05878827,1.0,,
4337,0.421680391,,2.0,
20,0.581285596,,,3.0
3393,0.887116849,1.0,,
3727,0.922532856,,,3.0
4107,0.951641321,,,3.0
3713,0.566896141,,,3.0
3669,0.937520564,,,3.0
1161,0.690275788,1.0,,
4023,0.745668769,,2.0,
3122,0.11435809,1.0,,
2090,0.872855186,,,3.0
252,0.939510882,1.0,,
1606,0.425917059,,2.0,
3014,0.345757544,,,3.0
1500,0.066100329,1.0,,
3854,0.974135041,,,3.0
3142,0.653122962,1.0,,
3613,0.066100329,,,3.0
3538,0.939510882,,,3.0
1933,0.093461998,1.0,,
1882,0.817091048,,2.0,
1333,0.926077366,,2.0,
306,0.961456835,1.0,,
2100,0.950175345,,,3.0
3395,0.921278656,,,3.0
1375,0.139141947,,,3.0
4130,0.922532856,,,3.0
2602,0.615120709,,2.0,
3040,0.58532089,1.0,,
4375,0.190068379,,,3.0
689,0.238480464,1.0,,
4479,0.431809604,,2.0,
691,0.977680027,,2.0,
1742,0.345757544,,,3.0
459,0.393016517,,2.0,
1118,0.974135041,,,3.0
1612,0.72041446,,,3.0
4535,0.895399153,,2.0,
1733,0.913907409,,,3.0
4377,0.782198191,1.0,,
3939,0.326537848,,2.0,
3093,0.663137794,,,3.0
1873,0.782198191,,,3.0
4093,0.441889226,1.0,,
948,0.961456835,1.0,,
3504,0.942619443,,,3.0
3399,0.901114106,,2.0,
241,0.360975266,1.0,,
1745,0.884222865,,2.0,
1476,0.951844871,,2.0,
1697,0.763451755,,2.0,
2117,0.965940714,,2.0,
450,0.270306379,1.0,,
367,0.961456835,1.0,,
328,0.961456835,1.0,,
2955,0.902898431,1.0,,
2463,0.881186485,1.0,,
1833,0.961456835,,,3.0
331,0.956047118,,,3.0
1125,0.220476165,,2.0,
3867,0.721796989,,2.0,
45,0.100144237,,2.0,
3313,0.432520777,1.0,,
1182,0.11435809,1.0,,
1963,0.939510882,,,3.0
2552,0.922359824,,2.0,
4108,0.187820703,,,3.0
1787,0.3314915,,,3.0
2825,0.872855186,1.0,,
208,0.929427028,,2.0,
168,0.360975266,1.0,,
3141,0.942619443,,,3.0
1233,0.950175345,,,3.0
1975,0.091103591,,,3.0
2506,0.908921003,1.0,,
641,0.929427028,,2.0,
4227,0.238480464,,,3.0
204,0.961456835,,,3.0
1815,0.421680391,,2.0,
2002,0.051143911,,,3.0
312,0.421680391,,2.0,
4127,0.745668769,,2.0,
368,0.898122609,,2.0,
1790,0.887116849,1.0,,
1454,0.957979739,,2.0,
1327,0.112010412,,,3.0
1708,0.951641321,1.0,,
4230,0.922532856,,,3.0
4495,0.516429722,,2.0,
2246,0.950175345,,,3.0
2051,0.111027971,,,3.0
2874,0.316559851,,2.0,
2280,0.254581004,1.0,,
4030,0.898122609,,2.0,
1883,0.802586615,,2.0,
1163,0.453091055,,2.0,
2221,0.279691517,,2.0,
4391,0.736887753,1.0,,
3381,0.960043967,,,3.0
2256,0.965466678,,2.0,
2603,0.887038708,,,3.0
3827,0.736887753,1.0,,
931,0.066100329,1.0,,
602,0.051143911,1.0,,
1494,0.960043967,,,3.0
1300,0.419250101,,2.0,
2727,0.973990798,,2.0,
1320,0.453091055,,2.0,
1658,0.961456835,,,3.0
3541,0.887038708,1.0,,
1384,0.066100329,,,3.0
2653,0.255106091,1.0,,
3938,0.745668769,,2.0,
722,0.075678885,1.0,,
2801,0.607900083,,2.0,
3201,0.072332315,1.0,,
2392,0.345757544,1.0,,
3086,0.372296005,,,3.0
4537,0.967042029,,,3.0
2212,0.776861906,,2.0,
3090,0.960726798,,,3.0
3449,0.360975266,1.0,,
1051,0.887116849,,,3.0
1297,0.850866556,,,3.0
4070,0.929427028,,2.0,
1336,0.360975266,1.0,,
2181,0.543259263,,,3.0
254,0.901114106,,2.0,
584,0.965466678,,2.0,
2812,0.58532089,1.0,,
2108,0.961456835,,,3.0
1555,0.960043967,,,3.0
4048,0.887038708,1.0,,
2820,0.907498837,,,3.0
3165,0.24721837,,2.0,
4275,0.942619443,,,3.0
2778,0.960043967,,,3.0
37,0.11110913,1.0,,
2033,0.939510882,,,3.0
2017,0.745668769,,2.0,
752,0.238480464,1.0,,
4530,0.632230997,,,3.0
3580,0.887116849,1.0,,
3151,0.187820703,,,3.0
3846,0.929427028,,2.0,
3616,0.908921003,,,3.0
2428,0.072332315,1.0,,
497,0.425917059,,2.0,
2854,0.887116849,1.0,,
277,0.802586615,,2.0,
3488,0.956047118,1.0,,
1839,0.187820703,,,3.0
3235,0.421680391,,2.0,
1264,0.395980448,,,3.0
3436,0.58532089,,,3.0
3312,0.960043967,1.0,,
2755,0.901685834,1.0,,
3599,0.181121677,,,3.0
748,0.360975266,1.0,,
4486,0.33025828,1.0,,
1669,0.816929281,,2.0,
4154,0.922532856,1.0,,
3217,0.066100329,1.0,,
3634,0.908921003,,,3.0
1437,0.887038708,1.0,,
4316,0.134839922,,2.0,
4397,0.939221919,,,3.0
1656,0.549619436,,2.0,
3927,0.929427028,,2.0,
3717,0.181121677,,,3.0
3952,0.961456835,1.0,,
1417,0.950175345,,,3.0
904,0.215993792,,2.0,
4192,0.745668769,,2.0,
3991,0.872855186,,,3.0
4017,0.293639034,,,3.0
2038,0.293639034,1.0,,
3502,0.220476165,,2.0,
48,0.024495786,,,3.0
962,0.920759022,,2.0,
1875,0.967306733,,,3.0
2058,0.421680391,,2.0,
294,0.902898431,,,3.0
142,0.929427028,,2.0,
1582,0.345757544,,,3.0
2844,0.615120709,,2.0,
868,0.776861906,,2.0,
2059,0.360975266,1.0,,
3255,0.425917059,,2.0,
3709,0.345757544,,,3.0
202,0.965940714,,2.0,
4518,0.685794175,1.0,,
3320,0.066100329,,,3.0
3344,0.922359824,,2.0,
2000,0.957656145,,2.0,
1730,0.345757544,,,3.0
553,0.782198191,,,3.0
527,0.887116849,1.0,,
605,0.293639034,1.0,,
1617,0.884222865,,2.0,
1061,0.106641263,,2.0,
2269,0.453091055,,2.0,
2833,0.114036284,,2.0,
372,0.901114106,,2.0,
616,0.093461998,1.0,,
3110,0.163293183,,2.0,
1866,0.360975266,1.0,,
3304,0.106641263,,2.0,
3720,0.152980477,,2.0,
2329,0.799744546,,,3.0
3332,0.736887753,1.0,,
4010,0.960043967,1.0,,
2450,0.360975266,,,3.0
3411,0.637359262,,2.0,
980,0.960036933,,2.0,
1671,0.61079067,1.0,,
1829,0.960043967,1.0,,
833,0.698932171,,2.0,
4521,0.789685607,1.0,,
58,0.610972404,,2.0,
2210,0.898122609,,2.0,
1836,0.072332315,1.0,,
2980,0.114036284,,2.0,
2675,0.919005513,1.0,,
1154,0.961456835,1.0,,
3609,0.152980477,,2.0,
3021,0.051143911,,,3.0
2416,0.187820703,,,3.0
4277,0.745668769,,2.0,
2678,0.066100329,,,3.0
3542,0.956047118,,,3.0
1183,0.745668769,,2.0,
1152,0.285503805,,2.0,
3007,0.106641263,,2.0,
3993,0.653122962,,,3.0
3342,0.061952036,,,3.0
3537,0.807849884,,2.0,
2144,0.238480464,1.0,,
3197,0.956047118,,,3.0
2984,0.872855186,,,3.0
4536,0.962668896,,,3.0
