,TOXICITY,paralyzed
1058,0.653122962,1
1241,0.907498837,1
1231,0.58532089,1
221,0.949062407,1
1212,0.961456835,1
138,0.372296005,1
339,0.239710376,1
1219,0.906712949,1
896,0.345757544,1
761,0.782198191,1
1411,0.360975266,1
1264,0.872855186,1
517,0.950175345,1
1185,0.950175345,1
564,0.872855186,1
240,0.902898431,1
568,0.345757544,1
1121,0.044328522,1
524,0.872855186,1
1495,0.33025828,1
95,0.974135041,1
869,0.11435809,1
1343,0.960043967,1
1447,0.345757544,1
1144,0.372296005,1
388,0.372296005,1
455,0.782198191,1
1060,0.360975266,1
352,0.950175345,1
552,0.238480464,1
1348,0.372296005,1
715,0.663137794,1
156,0.961456835,1
1252,0.939510882,1
1220,0.187820703,1
416,0.960043967,1
280,0.939510882,1
1266,0.782198191,1
1184,0.066100329,1
853,0.187820703,1
1295,0.345757544,1
181,0.939510882,1
786,0.360975266,1
1056,0.974135041,1
354,0.345757544,1
893,0.902898431,1
890,0.974135041,1
86,0.516749859,1
1235,0.238480464,1
945,0.042712685,1
1015,0.051143911,1
732,0.270306379,1
328,0.432520777,1
585,0.653122962,1
16,0.018993817,1
245,0.238480464,1
84,0.653122962,1
509,0.238480464,1
703,0.911068559,1
499,0.782198191,1
645,0.360975266,1
751,0.956047118,1
1324,0.939510882,1
910,0.181121677,1
714,0.922532856,1
1039,0.887116849,1
91,0.169741526,1
1448,0.974135041,1
1410,0.782198191,1
694,0.939510882,1
1340,0.432520777,1
1131,0.345757544,1
830,0.066100329,1
1259,0.187820703,1
993,0.872855186,1
389,0.11435809,1
1492,0.69880271,1
1308,0.345757544,1
778,0.293639034,1
494,0.345757544,1
1336,0.956047118,1
832,0.653122962,1
486,0.051143911,1
1217,0.736887753,1
1072,0.432520777,1
269,0.187820703,1
665,0.956047118,1
691,0.950235009,1
372,0.949305475,1
793,0.887116849,1
579,0.293639034,1
964,0.281449258,1
1441,0.051143911,1
125,0.782198191,1
196,0.11435809,1
705,0.653122962,1
450,0.939510882,1
1349,0.543259263,1
48,0.051143911,1
94,0.960043967,1
758,0.079936959,1
713,0.58532089,1
1265,0.051143911,1
1142,0.736887753,1
990,0.960043967,1
572,0.08331427,1
67,0.051143911,1
1088,0.634545922,1
1234,0.066100329,1
752,0.360975266,1
1218,0.889051855,1
1225,0.816484094,1
500,0.653122962,1
169,0.11435809,1
1393,0.181121677,1
80,0.939510882,1
607,0.902898431,1
966,0.939510882,1
492,0.066100329,1
777,0.11435809,1
531,0.178561866,1
740,0.950175345,1
294,0.372296005,1
1078,0.974135041,1
1405,0.974135041,1
1366,0.713348806,1
233,0.950175345,1
962,0.093461998,1
71,0.091103591,1
1143,0.950175345,1
8,0.02128887,1
326,0.072332315,1
523,0.270306379,1
303,0.066100329,1
1310,0.061120614,1
135,0.956047118,1
1112,0.895394206,1
604,0.240139246,1
1304,0.360975266,1
680,0.887116849,1
210,0.902898431,1
999,0.58532089,1
238,0.908921003,1
597,0.093461998,1
1125,0.060129829,1
1053,0.432520777,1
1300,0.293639034,1
418,0.960043967,1
230,0.872855186,1
279,0.736887753,1
947,0.071420714,1
878,0.916135252,1
49,0.187820703,1
803,0.187820703,1
629,0.345757544,1
46,0.360975266,1
811,0.872855186,1
340,0.872855186,1
1257,0.902898431,1
397,0.956047118,1
898,0.072332315,1
907,0.961456835,1
13,0.496293306,1
625,0.061952036,1
700,0.694841027,1
314,0.432520777,1
768,0.345757544,1
659,0.270306379,1
495,0.372296005,1
1466,0.086233929,1
1279,0.922532856,1
497,0.653122962,1
2,0.491391569,1
392,0.922532856,1
1430,0.95228523,1
673,0.942619443,1
297,0.956047118,1
949,0.093461998,1
331,0.749203205,1
173,0.929375052,1
603,0.736887753,1
1223,0.360975266,1
1140,0.58532089,1
744,0.948390067,1
82,0.432520777,1
421,0.066100329,1
105,0.130692825,1
583,0.887038708,1
1160,0.11435809,1
970,0.58532089,1
704,0.051143911,1
939,0.872855186,1
1369,0.093461998,1
437,0.942619443,1
580,0.887116849,1
1227,0.902898431,1
1016,0.887038708,1
737,0.658375144,1
569,0.974135041,1
1059,0.872855186,1
872,0.919005513,1
1480,0.942619443,1
688,0.238480464,1
638,0.782198191,1
263,0.684221447,1
1094,0.900729597,1
1028,0.968716264,1
478,0.093461998,1
610,0.736887753,1
850,0.393586546,1
1129,0.360975266,1
1188,0.952744663,1
977,0.922532856,1
860,0.255106091,1
1113,0.372296005,1
73,0.887116849,1
784,0.889835,1
179,0.345757544,1
1250,0.887038708,1
759,0.950175345,1
534,0.782198191,1
1206,0.942619443,1
637,0.89680469,1
211,0.961456835,1
1067,0.360975266,1
681,0.066100329,1
1388,0.270306379,1
1456,0.58532089,1
767,0.238480464,1
692,0.372296005,1
469,0.960043967,1
699,0.293639034,1
170,0.181121677,1
1038,0.11435809,1
272,0.922532856,1
1435,0.956047118,1
439,0.895130694,1
431,0.181121677,1
316,0.181121677,1
995,0.193325385,1
870,0.293639034,1
207,0.072332315,1
336,0.270306379,1
57,0.960043967,1
963,0.939510882,1
479,0.360975266,1
481,0.840206027,1
797,0.782198191,1
301,0.044717964,1
1084,0.942619443,1
63,0.939510882,1
1069,0.939510882,1
669,0.270306379,1
663,0.653122962,1
799,0.093461998,1
741,0.360975266,1
918,0.206629276,1
1189,0.293639034,1
1373,0.908921003,1
934,0.907001853,1
111,0.051143911,1
1163,0.908921003,1
562,0.920223475,1
490,0.187820703,1
1107,0.072332315,1
1076,0.680089295,1
359,0.360975266,1
110,0.101259843,1
1019,0.974135041,1
120,0.044480793,1
1205,0.961456835,1
952,0.360975266,1
374,0.679755628,1
1354,0.345757544,1
1322,0.58532089,1
1127,0.908921003,1
385,0.066100329,1
307,0.58532089,1
1158,0.066100329,1
1387,0.922532856,1
1401,0.872855186,1
406,0.141974092,1
276,0.270306379,1
1475,0.432520777,1
1073,0.093461998,1
1105,0.360975266,1
1161,0.653122962,1
613,0.653122962,1
309,0.270306379,1
1124,0.093461998,1
919,0.11435809,1
1437,0.728212059,1
1168,0.887116849,1
876,0.653122962,1
1066,0.270306379,1
1386,0.772910178,1
1132,0.72041446,1
772,0.181121677,1
1229,0.872855186,1
102,0.58532089,1
108,0.961456835,1
87,0.084499359,1
1187,0.793306947,1
1288,0.922532856,1
199,0.181121677,1
154,0.20552285,1
1237,0.961456835,1
881,0.956047118,1
387,0.187820703,1
865,0.93608135,1
1197,0.066100329,1
23,0.01258509,1
985,0.270306379,1
148,0.270306379,1
1268,0.181121677,1
1412,0.432520777,1
727,0.238480464,1
736,0.278274506,1
724,0.238480464,1
885,0.187820703,1
719,0.922532856,1
246,0.782198191,1
584,0.293639034,1
1362,0.162078604,1
300,0.657598019,1
335,0.093461998,1
571,0.939510882,1
267,0.872855186,1
1269,0.270306379,1
184,0.187820703,1
471,0.956047118,1
507,0.377538532,1
131,0.345757544,1
393,0.782198191,1
1368,0.093461998,1
594,0.293639034,1
386,0.238480464,1
550,0.782198191,1
394,0.754546404,1
1111,0.754354358,1
1276,0.922532856,1
1024,0.942619443,1
44,0.187820703,1
1358,0.58532089,1
810,0.942619443,1
1004,0.761114776,1
955,0.942619443,1
1320,0.187820703,1
631,0.293639034,1
1426,0.360975266,1
25,0.050936382,1
1331,0.432520777,1
409,0.41264233,1
209,0.051143911,1
1,0.136357471,1
472,0.117548816,1
536,0.736887753,1
28,0.02868103,1
81,0.58532089,1
390,0.974135041,1
383,0.690275788,1
380,0.961456835,1
256,0.902898431,1
1090,0.293639034,1
794,0.922692776,1
21,0.158333063,1
1191,0.942619443,1
829,0.902898431,1
1384,0.192576453,1
76,0.902898431,1
611,0.066100329,1
20,0.027537804,1
175,0.11435809,1
1419,0.066100329,1
1489,0.985996306,1
602,0.130003452,1
698,0.922532856,1
1470,0.887038708,1
1130,0.887038708,1
882,0.151176706,1
640,0.432520777,1
871,0.034854122,1
961,0.238480464,1
648,0.181121677,1
1306,0.187820703,1
415,0.961425185,1
1230,0.360975266,1
1413,0.097251743,1
532,0.61079067,1
262,0.066100329,1
407,0.360975266,1
796,0.95844698,1
1210,0.922532856,1
1377,0.887116849,1
997,0.872855186,1
1483,0.72670269,1
1273,0.736887753,1
250,0.961456835,1
349,0.974135041,1
808,0.960043967,1
137,0.051143911,1
7,0.03047134,1
15,0.051036716,1
720,0.025225265,1
468,0.950175345,1
273,0.293639034,1
275,0.072332315,1
822,0.736887753,1
1453,0.432520777,1
283,0.653122962,1
445,0.432520777,1
668,0.653122962,1
454,0.11435809,1
118,0.181121677,1
327,0.411501288,1
78,0.887038708,1
1114,0.11435809,1
537,0.258479685,1
1172,0.964303374,1
540,0.187820703,1
539,0.974135041,1
1287,0.887116849,1
1345,0.782198191,1
299,0.430757463,1
619,0.942619443,1
781,0.072332315,1
809,0.872855186,1
241,0.961456835,1
408,0.293639034,1
234,0.187820703,1
376,0.33357498,1
112,0.939510882,1
195,0.293639034,1
661,0.862432361,1
636,0.360975266,1
792,0.942619443,1
693,0.181121677,1
1278,0.49162221,1
696,0.072332315,1
268,0.345757544,1
1055,0.066100329,1
146,0.960043967,1
308,0.847554326,1
641,0.736887753,1
802,0.044804826,1
155,0.238480464,1
716,0.382478535,1
1491,0.967137158,1
1385,0.360975266,1
586,0.11435809,1
588,0.960043967,1
658,0.072332315,1
361,0.974135041,1
466,0.345757544,1
295,0.974135041,1
846,0.950175345,1
622,0.270306379,1
93,0.887038708,1
219,0.140657917,1
192,0.051143911,1
902,0.293639034,1
940,0.345757544,1
480,0.066100329,1
522,0.11435809,1
178,0.736887753,1
1381,0.902898431,1
1183,0.293639034,1
164,0.727344811,1
97,0.051143911,1
1319,0.937520564,1
1214,0.031819008,1
1334,0.887116849,1
50,0.084499359,1
883,0.375811279,1
678,0.782198191,1
10,0.776486397,1
674,0.16566889,1
1446,0.066100329,1
812,0.270306379,1
116,0.432520777,1
1376,0.798829615,1
1119,0.630637825,1
905,0.270306379,1
1271,0.029455081,1
1468,0.460958451,1
88,0.372296005,1
1408,0.908921003,1
1009,0.187820703,1
844,0.782198191,1
1433,0.076596536,1
65,0.908921003,1
474,0.345757544,1
731,0.939510882,1
460,0.119810008,1
614,0.956047118,1
274,0.780891478,1
100,0.887038708,1
735,0.974135041,1
1152,0.887038708,1
553,0.90719676,1
1007,0.395744413,1
89,0.887038708,1
771,0.152215958,1
954,0.642888367,1
227,0.960043967,1
142,0.238480464,1
709,0.093461998,1
1296,0.908921003,1
855,0.360975266,1
1478,0.887038708,1
1186,0.956047118,1
1010,0.6493572,1
1501,0.984429717,1
1064,0.736887753,1
1361,0.238378331,1
1274,0.293639034,1
24,0.696761012,1
447,0.799744546,1
1420,0.270306379,1
1242,0.58532089,1
188,0.736887753,1
914,0.817227721,1
721,0.950175345,1
1213,0.827987194,1
104,0.950175345,1
1311,0.956047118,1
706,0.782198191,1
141,0.691960573,1
53,0.943854213,1
1481,0.961456835,1
840,0.939510882,1
159,0.039964452,1
833,0.887038708,1
355,0.956047118,1
338,0.782198191,1
322,0.270306379,1
119,0.653122962,1
130,0.807709873,1
365,0.051143911,1
1379,0.736887753,1
446,0.736887753,1
1290,0.782198191,1
1482,0.959182501,1
1297,0.951959193,1
150,0.270306379,1
590,0.887038708,1
174,0.887116849,1
595,0.214124158,1
194,0.051143911,1
1485,0.977860212,1
124,0.238480464,1
859,0.922030509,1
282,0.960043967,1
1192,0.372296005,1
889,0.360975266,1
310,0.961456835,1
1339,0.950175345,1
1378,0.974135041,1
90,0.293639034,1
788,0.238480464,1
109,0.360975266,1
429,0.181121677,1
776,0.372296005,1
18,0.017584551,1
287,0.11435809,1
1109,0.58532089,1
851,0.11435809,1
1182,0.034964632,1
1484,0.984064996,1
816,0.976896465,1
978,0.950175345,1
634,0.961456835,1
1505,0.685794175,1
1347,0.912432492,1
965,0.900929034,1
922,0.58532089,1
702,0.942619443,1
1479,0.270306379,1
312,0.653122962,1
1176,0.072332315,1
85,0.372296005,1
790,0.181121677,1
1022,0.072332315,1
247,0.58532089,1
1375,0.939510882,1
929,0.372296005,1
766,0.778065264,1
888,0.11435809,1
435,0.96051085,1
320,0.051143911,1
1281,0.072332315,1
1221,0.072332315,1
362,0.345757544,1
1372,0.956047118,1
660,0.11435809,1
697,0.974135041,1
1033,0.653122962,1
370,0.653122962,1
756,0.072332315,1
318,0.974135041,1
503,0.58532089,1
1087,0.872855186,1
1486,0.685794175,1
652,0.887038708,1
114,0.176924497,1
1122,0.066100329,1
198,0.11435809,1
1156,0.887116849,1
1312,0.093461998,1
1260,0.653122962,1
599,0.593361676,1
428,0.58532089,1
1427,0.360975266,1
789,0.960043967,1
433,0.968584955,1
59,0.872855186,1
202,0.872855186,1
1487,0.983982921,1
608,0.960043967,1
225,0.956047118,1
917,0.736887753,1
679,0.360975266,1
248,0.887116849,1
1199,0.360975266,1
548,0.951641321,1
129,0.809676349,1
987,0.051143911,1
289,0.908921003,1
430,0.27358368,1
971,0.908921003,1
