,TOXICITY,blind
996,0.96941334,2
625,0.308762878,2
1383,0.220476165,2
1076,0.965799272,2
1045,0.973990798,2
160,0.326537848,2
1181,0.960036933,2
130,0.960036933,2
1179,0.619086564,2
1071,0.884222865,2
282,0.179596871,2
239,0.977680027,2
1050,0.83395803,2
825,0.969425678,2
790,0.220476165,2
606,0.948636532,2
673,0.220476165,2
57,0.316559851,2
557,0.977680027,2
1252,0.901114106,2
802,0.97224468,2
1058,0.326537848,2
438,0.607900083,2
361,0.220476165,2
206,0.776861906,2
441,0.965466678,2
943,0.607900083,2
173,0.279691517,2
870,0.163293183,2
541,0.960036933,2
158,0.745668769,2
86,0.182536855,2
1005,0.106641263,2
41,0.522999048,2
1077,0.114036284,2
714,0.552348495,2
1443,0.106641263,2
620,0.745668769,2
944,0.095653899,2
713,0.97224468,2
1019,0.776861906,2
25,0.120416418,2
1031,0.607900083,2
178,0.421680391,2
1102,0.929427028,2
890,0.926077366,2
2,0.554385364,2
1137,0.425917059,2
1505,0.75185734,2
892,0.884222865,2
1390,0.977680027,2
690,0.960036933,2
492,0.898122609,2
333,0.922359824,2
82,0.163963899,2
415,0.607900083,2
30,0.208203629,2
132,0.776861906,2
1275,0.776861906,2
550,0.969425678,2
1466,0.745668769,2
308,0.900302172,2
1363,0.421680391,2
751,0.977680027,2
542,0.163293183,2
649,0.970656753,2
1429,0.922359824,2
551,0.425917059,2
1419,0.106641263,2
797,0.615120709,2
667,0.607900083,2
1454,0.152980477,2
1230,0.425917059,2
375,0.926077366,2
131,0.607900083,2
331,0.615120709,2
1357,0.97224468,2
547,0.453091055,2
785,0.453091055,2
1216,0.106641263,2
1404,0.745668769,2
1091,0.453091055,2
106,0.421680391,2
592,0.97224468,2
563,0.884222865,2
513,0.922359824,2
213,0.901114106,2
181,0.745668769,2
1438,0.901114106,2
709,0.884222865,2
1092,0.969425678,2
17,0.719209015,2
463,0.969425678,2
578,0.922359824,2
245,0.143501431,2
688,0.61652112,2
1098,0.114036284,2
304,0.421680391,2
1245,0.279691517,2
99,0.615120709,2
774,0.552348495,2
13,0.100144237,2
677,0.279691517,2
1270,0.901114106,2
1366,0.926077366,2
864,0.922359824,2
446,0.884222865,2
84,0.316559851,2
315,0.453091055,2
992,0.802586615,2
1510,0.973145783,2
1062,0.453091055,2
695,0.776861906,2
121,0.898122609,2
1155,0.698932171,2
1388,0.615120709,2
596,0.163293183,2
1250,0.316559851,2
1339,0.326537848,2
462,0.898122609,2
324,0.901114106,2
45,0.929427028,2
916,0.973990798,2
1032,0.745668769,2
478,0.97224468,2
475,0.926077366,2
12,0.254205227,2
917,0.776861906,2
0,0.523488998,2
254,0.90139538,2
540,0.745668769,2
942,0.745668769,2
748,0.425917059,2
1118,0.898122609,2
1325,0.453091055,2
237,0.967127562,2
1369,0.106641263,2
447,0.776861906,2
442,0.086401381,2
1291,0.721796989,2
1046,0.163293183,2
960,0.973990798,2
299,0.901114106,2
1413,0.884222865,2
584,0.911467373,2
457,0.698932171,2
7,0.054099917,2
482,0.106641263,2
684,0.929427028,2
1209,0.326537848,2
817,0.552348495,2
145,0.421680391,2
732,0.220476165,2
939,0.745668769,2
1018,0.425917059,2
1265,0.114036284,2
269,0.802586615,2
171,0.965466678,2
1431,0.969425678,2
1337,0.114036284,2
1330,0.453091055,2
141,0.776861906,2
755,0.798916042,2
1040,0.40800029,2
876,0.279691517,2
